file,ssim,ms_ssim,psnr,vif_p,vsi,fsim,gmsd,ms_gmsd,haarpsi,mdsi
2007_002088_SimBA-DCT_(3, 100).png,1.0,1.0,80.0,1.0,1.0,1.0,0.0,0.0,0.99999845,0.0
2007_002088_SimBA-DCT_(3, 500).png,1.0,1.0,80.0,1.0,1.0,1.0,0.0,0.0,0.99999845,0.0
2007_002088_SimBA-DCT_(30, 100).png,1.0,1.0,80.0,1.0,1.0,1.0,0.0,0.0,0.99999845,0.0
2007_002088_SimBA-DCT_(30, 500).png,1.0,1.0,80.0,1.0,1.0,1.0,0.0,0.0,0.99999845,0.0
2007_002088_SimBA_(0.3, 100).png,1.0,1.0,80.0,1.0,1.0,1.0,0.0,0.0,0.99999845,0.0
2007_002088_SimBA_(0.3, 500).png,1.0,1.0,80.0,1.0,1.0,1.0,0.0,0.0,0.99999845,0.0
2007_002088_SimBA_(3, 100).png,1.0,1.0,80.0,1.0,1.0,1.0,0.0,0.0,0.99999845,0.0
2007_002088_SimBA_(3, 500).png,1.0,1.0,80.0,1.0,1.0,1.0,0.0,0.0,0.99999845,0.0
2007_002088_SimBA_(30, 100).png,1.0,1.0,80.0,1.0,1.0,1.0,0.0,0.0,0.99999845,0.0
2007_002088_SimBA_(30, 500).png,1.0,1.0,80.0,1.0,1.0,1.0,0.0,0.0,0.99999845,0.0
2007_002094_SimBA-DCT_(0.3, 100).png,1.0,1.0,80.0,1.0,1.0,1.0,0.0,0.0,1.0000024,0.0
2007_002094_SimBA-DCT_(0.3, 500).png,1.0,1.0,80.0,1.0,1.0,1.0,0.0,0.0,1.0000024,0.0
2007_002094_SimBA-DCT_(3, 100).png,1.0,1.0,80.0,1.0,1.0,1.0,0.0,0.0,1.0000024,0.0
2007_002094_SimBA-DCT_(3, 500).png,1.0,1.0,80.0,1.0,1.0,1.0,0.0,0.0,1.0000024,0.0
2007_002094_SimBA-DCT_(30, 100).png,1.0,1.0,80.0,1.0,1.0,1.0,0.0,0.0,1.0000024,0.0
2007_002094_SimBA-DCT_(30, 500).png,1.0,1.0,80.0,1.0,1.0,1.0,0.0,0.0,1.0000024,0.0
2007_002094_SimBA_(0.3, 100).png,1.0,1.0,80.0,1.0,1.0,1.0,0.0,0.0,1.0000024,0.0
2007_002094_SimBA_(0.3, 500).png,1.0,1.0,80.0,1.0,1.0,1.0,0.0,0.0,1.0000024,0.0
2007_002094_SimBA_(3, 100).png,1.0,1.0,80.0,1.0,1.0,1.0,0.0,0.0,1.0000024,0.0
2007_002094_SimBA_(3, 500).png,1.0,1.0,80.0,1.0,1.0,1.0,0.0,0.0,1.0000024,0.0
2007_002094_SimBA_(30, 100).png,1.0,1.0,80.0,1.0,1.0,1.0,0.0,0.0,1.0000024,0.0
2007_002094_SimBA_(30, 500).png,1.0,1.0,80.0,1.0,1.0,1.0,0.0,0.0,1.0000024,0.0
2007_002099_SimBA-DCT_(0.3, 100).png,1.0,1.0,80.0,1.0,1.0,1.0,0.0,0.0,1.0000002,0.0
2007_002099_SimBA-DCT_(0.3, 500).png,1.0,1.0,80.0,1.0,1.0,1.0,0.0,0.0,1.0000002,0.0
2007_002099_SimBA-DCT_(3, 100).png,1.0,1.0,80.0,1.0,1.0,1.0,0.0,0.0,1.0000002,0.0
2007_002099_SimBA-DCT_(3, 500).png,1.0,1.0,80.0,1.0,1.0,1.0,0.0,0.0,1.0000002,0.0
2007_002099_SimBA-DCT_(30, 100).png,1.0,1.0,80.0,1.0,1.0,1.0,0.0,0.0,1.0000002,0.0
2007_002099_SimBA-DCT_(30, 500).png,1.0,1.0,80.0,1.0,1.0,1.0,0.0,0.0,1.0000002,0.0
2007_002099_SimBA_(0.3, 100).png,1.0,1.0,80.0,1.0,1.0,1.0,0.0,0.0,1.0000002,0.0
2007_002099_SimBA_(0.3, 500).png,1.0,1.0,80.0,1.0,1.0,1.0,0.0,0.0,1.0000002,0.0
2007_002099_SimBA_(3, 100).png,1.0,1.0,80.0,1.0,1.0,1.0,0.0,0.0,1.0000002,0.0
2007_002099_SimBA_(3, 500).png,1.0,1.0,80.0,1.0,1.0,1.0,0.0,0.0,1.0000002,0.0
2007_002099_SimBA_(30, 100).png,1.0,1.0,80.0,1.0,1.0,1.0,0.0,0.0,1.0000002,0.0
2007_002099_SimBA_(30, 500).png,1.0,1.0,80.0,1.0,1.0,1.0,0.0,0.0,1.0000002,0.0
2007_002293_SimBA-DCT_(0.3, 100).png,0.9983346,0.99841464,49.988407,0.97685814,0.99982876,0.9994613,0.0011015775,0.0013139037,0.99583596,0.10701475
2007_002293_SimBA-DCT_(0.3, 500).png,0.9969882,0.9966991,46.70412,0.95609,0.99966234,0.9988661,0.0022358254,0.0025223866,0.9916712,0.12728244
2007_002293_SimBA-DCT_(3, 100).png,0.9693147,0.96476054,36.65034,0.76987547,0.9962251,0.98832697,0.022880688,0.023255704,0.93619734,0.231753
2007_002293_SimBA-DCT_(3, 500).png,0.95820403,0.9497871,34.5478,0.72820383,0.99578464,0.9852127,0.028017476,0.029876893,0.9057943,0.24621406
2007_002293_SimBA-DCT_(30, 100).png,0.89764297,0.9129113,29.578396,0.52059484,0.9969788,0.95497024,0.062322684,0.062301897,0.79209447,0.32322967
2007_002293_SimBA-DCT_(30, 500).png,0.8176302,0.8217521,26.598602,0.3344783,0.94232583,0.87283033,0.18499592,0.18953432,0.55958146,0.45008004
2007_002293_SimBA_(0.3, 100).png,0.99853826,0.9997153,51.162956,0.9901844,0.9999755,0.999916,0.00193451,0.0032227475,0.99957937,0.07934692
2007_002293_SimBA_(0.3, 500).png,0.99364984,0.99884456,44.942417,0.95847774,0.99983877,0.9994019,0.004621845,0.007860401,0.9972798,0.11714098
2007_002293_SimBA_(3, 100).png,0.9974476,0.99899733,44.619614,0.98025995,0.9998202,0.9995878,0.010598988,0.0103866635,0.9982861,0.12252864
2007_002293_SimBA_(3, 500).png,0.9933483,0.99762857,40.124897,0.9519541,0.99961644,0.99917156,0.013986161,0.014303555,0.99537694,0.14694837
2007_002293_SimBA_(30, 100).png,0.9974515,0.9991071,44.599968,0.9750636,0.99981433,0.9993774,0.00995483,0.010192206,0.99811536,0.12330457
2007_002293_SimBA_(30, 500).png,0.9919168,0.9972414,39.662064,0.94206697,0.9994353,0.99880916,0.018121706,0.017736446,0.9942878,0.15979582
2007_002344_SimBA-DCT_(0.3, 100).png,1.0,1.0,80.0,1.0,1.0,1.0,0.0,0.0,1.0000002,0.0
2007_002344_SimBA-DCT_(0.3, 500).png,1.0,1.0,80.0,1.0,1.0,1.0,0.0,0.0,1.0000002,0.0
2007_002344_SimBA-DCT_(3, 100).png,1.0,1.0,80.0,1.0,1.0,1.0,0.0,0.0,1.0000002,0.0
