file,ssim,ms_ssim,psnr,vif_p,vsi,fsim,gmsd,ms_gmsd,haarpsi,mdsi
"2010_004223_GAP_(i, u, 20).png",0.25435716,0.7390808,23.70332,0.12563173,0.9976145,0.99169147,0.021358658,0.08976599,0.5933749,0.21757782
"2010_004223_GAP_(i, u, 30).png",0.18089199,0.7133321,20.666893,0.1061713,0.9836806,0.9780029,0.01857925,0.08542867,0.5438034,0.32341942
"2010_004223_GAP_(i, u, 5).png",0.78653014,0.9721689,35.047928,0.32677704,0.99995804,0.9998565,0.00051812886,0.011001002,0.9975046,0.0739552
"2010_004223_GAP_(u, t, 10).png",0.69048476,0.8652333,31.105576,0.23003823,0.98082703,0.889423,0.099439025,0.0988043,0.7302178,0.36739016
"2010_004223_GAP_(u, t, 20).png",0.3909691,0.64274037,24.515287,0.09412646,0.92210335,0.71855307,0.21946597,0.21565562,0.44797,0.50030744
"2010_004223_GAP_(u, t, 30).png",0.27135938,0.57369673,21.60181,0.06762641,0.91317284,0.6619324,0.24292219,0.23711398,0.37270957,0.5299748
"2010_004223_GAP_(u, t, 5).png",0.89100045,0.962239,36.728195,0.44536105,0.9951433,0.9664263,0.03161574,0.03284149,0.9223737,0.25481397
"2010_004283_GAP_(i, u, 10).png",0.590484,0.90609205,30.034998,0.27577627,0.9990005,0.9956201,0.008638745,0.06305738,0.7995151,0.1665389
"2010_004283_GAP_(i, u, 20).png",0.32507798,0.78228414,24.628668,0.1782524,0.9970467,0.9818704,0.027716927,0.08275457,0.68062943,0.25127113
"2010_004283_GAP_(i, u, 30).png",0.24166958,0.7883803,20.929512,0.16696277,0.9856048,0.9583292,0.038166314,0.08130201,0.50369513,0.3465762
"2010_004283_GAP_(i, u, 5).png",0.80929065,0.97551465,35.16776,0.40549237,0.9998535,0.9995497,0.0011714018,0.011568822,0.9975783,0.09737619
"2010_004283_GAP_(u, t, 10).png",0.69223154,0.8916569,31.472006,0.31240225,0.9871056,0.90610695,0.09359447,0.09298943,0.79128665,0.35993564
"2010_004283_GAP_(u, t, 20).png",0.4245728,0.7335694,25.285967,0.15041299,0.9542034,0.77901596,0.18695445,0.18354599,0.54350454,0.46821117
"2010_004283_GAP_(u, t, 30).png",0.30178288,0.6642928,22.231316,0.113108344,0.9461914,0.73279494,0.21379384,0.21013172,0.4593091,0.5019023
"2010_004283_GAP_(u, t, 5).png",0.87984467,0.9665035,36.83963,0.53490025,0.9962725,0.96888065,0.034328025,0.035042394,0.94000655,0.2608931
"2010_004676_GAP_(i, u, 10).png",0.6834792,0.93268967,29.479979,0.37533265,0.9991679,0.9973063,0.009400609,0.057991445,0.7700989,0.15585443
"2010_004676_GAP_(i, u, 20).png",0.4228884,0.8405385,23.837187,0.23684223,0.9968213,0.98697525,0.028535675,0.087418534,0.665364,0.24565738
"2010_004676_GAP_(i, u, 30).png",0.3203634,0.8084053,20.307749,0.2111408,0.9755739,0.9785898,0.020318853,0.0861163,0.5905737,0.36806834
