file,ssim,ms_ssim,psnr,vif_p,vsi,fsim,gmsd,ms_gmsd,haarpsi,mdsi
2007_003118_OnePixel_(10, 40).png,0.9989266,0.99974906,51.75852,0.9950871,0.9999277,0.99985397,0.0056247157,0.0059987684,0.9996261,0.086782925
2007_003118_OnePixel_(100, 50).png,0.9927293,0.9983799,42.050777,0.97060674,0.99971527,0.9990412,0.011740613,0.012524191,0.99625677,0.13344821
2007_003118_OnePixel_(50, 40).png,0.9963136,0.9992088,45.70925,0.98485,0.9998798,0.9996441,0.006756497,0.007688842,0.9986435,0.105390474
2007_003137_OnePixel_(10, 40).png,0.99949735,0.9998831,51.867405,0.9965876,0.999957,0.9998835,0.0061697084,0.005588961,0.9996592,0.08757016
2007_003137_OnePixel_(100, 50).png,0.9945914,0.99874294,41.631187,0.96952134,0.99938726,0.9987102,0.018744228,0.017369373,0.9957936,0.15059672
2007_003137_OnePixel_(300, 80).png,0.9858405,0.99709004,37.308655,0.9204074,0.9989481,0.9974252,0.024614956,0.024184141,0.98913467,0.17883769
2007_003137_OnePixel_(50, 40).png,0.9973466,0.99941415,45.22221,0.985947,0.9997684,0.999456,0.0118970005,0.011256667,0.9981793,0.122199215
2007_003191_OnePixel_(10, 40).png,0.99930334,0.99985874,53.217503,0.9959015,0.9999493,0.9998719,0.003989248,0.004546723,0.99949175,0.077288374
2007_003191_OnePixel_(100, 50).png,0.99292135,0.99840283,42.900425,0.96770877,0.99959266,0.99902534,0.013335795,0.01402203,0.99644214,0.13455257
2007_003191_OnePixel_(50, 40).png,0.9965026,0.99917454,45.99154,0.98314416,0.9998514,0.9996173,0.009235491,0.009712592,0.99847066,0.112645775
2007_003251_OnePixel_(10, 40).png,0.9990977,0.99967015,51.122135,0.99535626,0.9999124,0.9998929,0.0081230365,0.0075541916,0.999595,0.095244974
2007_003251_OnePixel_(100, 50).png,0.99424165,0.99865615,42.24396,0.9664028,0.9996107,0.9988872,0.016134597,0.0154592935,0.9953153,0.1442858
2007_003251_OnePixel_(50, 40).png,0.9968133,0.9992274,45.023956,0.98099315,0.9998157,0.9993056,0.012799288,0.012039819,0.9973961,0.1276799
2007_003349_OnePixel_(10, 40).png,0.99918175,0.9998371,51.961132,0.9964698,0.9999629,0.9999032,0.004650845,0.004861868,0.9997139,0.08081402
2007_003349_OnePixel_(100, 50).png,0.99422026,0.99876165,42.69866,0.9729459,0.9996518,0.9988404,0.015513668,0.014822997,0.9962626,0.14103267
2007_003349_OnePixel_(50, 40).png,0.9966196,0.99926984,44.989643,0.9850154,0.9997297,0.9993185,0.012955402,0.012197828,0.9967862,0.12781508
2007_003431_OnePixel_(10, 40).png,0.99912584,0.9996972,52.3805,0.9946559,0.9999546,0.9998581,0.0064967466,0.006087626,0.99973714,0.087666556
2007_003431_OnePixel_(100, 50).png,0.99289244,0.9976637,42.984703,0.9535916,0.99958104,0.99887383,0.017024243,0.016520748,0.99564874,0.14971703
2007_003431_OnePixel_(50, 40).png,0.9958954,0.998477,44.474266,0.9735618,0.99970084,0.99910575,0.015316647,0.014170267,0.99793124,0.1362638
2007_003580_OnePixel_(10, 40).png,0.9987578,0.9995903,50.743526,0.9940439,0.9999072,0.9998007,0.0090435,0.008338542,0.9994351,0.10136108
2007_003580_OnePixel_(100, 50).png,0.9919181,0.99738514,41.87138,0.95576197,0.99945897,0.9987431,0.021725139,0.01988845,0.9957471,0.16179907
2007_003580_OnePixel_(50, 40).png,0.9955117,0.9985975,44.677887,0.9751225,0.99967325,0.99920285,0.014826634,0.013994742,0.9976422,0.1347082
2007_003715_OnePixel_(10, 40).png,0.9989881,0.9995782,50.287212,0.9945859,0.9999182,0.999947,0.010485951,0.00901837,0.99966717,0.11146267
2007_003715_OnePixel_(100, 50).png,0.9941835,0.9980906,42.50322,0.96695095,0.99954236,0.9990121,0.02205057,0.01933221,0.99244136,0.16280277
2007_003715_OnePixel_(300, 80).png,0.9814541,0.9937366,37.353397,0.8975289,0.99835396,0.9967695,0.040133722,0.03552742,0.98214525,0.21801111
2007_003715_OnePixel_(50, 40).png,0.99698585,0.9990591,45.45566,0.9829217,0.99977946,0.99961394,0.016862545,0.014603633,0.997181,0.14231639
2007_004065_OnePixel_(10, 40).png,0.99930656,0.9997988,53.013145,0.9964298,0.99991554,0.99974424,0.007231572,0.0066281375,0.99973714,0.09345387
2007_004065_OnePixel_(100, 50).png,0.9950153,0.9987984,43.63564,0.97261363,0.9996862,0.9990553,0.012103921,0.012315957,0.99660265,0.13073832
2007_004065_OnePixel_(300, 80).png,0.98416007,0.99635834,38.432,0.9155808,0.9990964,0.99648786,0.022850389,0.022990506,0.99025345,0.17679454
2007_004065_OnePixel_(50, 40).png,0.9969748,0.9992182,45.841564,0.9825985,0.9998393,0.99940383,0.01057893,0.010662496,0.99781454,0.119444825
2007_004092_OnePixel_(10, 40).png,0.9989621,0.9996449,51.000195,0.99492925,0.9998564,0.9996671,0.011547998,0.010017215,0.9995989,0.1140191
2007_004092_OnePixel_(100, 50).png,0.99246854,0.9977304,41.980633,0.9571846,0.9994113,0.998591,0.021115316,0.019559104,0.9915643,0.16099556
2007_004092_OnePixel_(50, 40).png,0.99646604,0.99897516,45.334873,0.9799713,0.99977833,0.99939,0.012620555,0.012134879,0.9981426,0.12565383
2007_004707_OnePixel_(10, 40).png,0.9992951,0.99980116,51.989178,0.9958119,0.99992126,0.99989593,0.0077526937,0.0069328076,0.9994996,0.09414053
2007_004707_OnePixel_(100, 50).png,0.99412453,0.99852777,41.787178,0.964893,0.9996246,0.999205,0.013957764,0.01416267,0.9964113,0.13935052
2007_004707_OnePixel_(300, 80).png,0.9805636,0.9944911,36.537373,0.89845884,0.99843156,0.9968203,0.033092532,0.031113556,0.9875446,0.20035098
2007_004707_OnePixel_(50, 40).png,0.9966587,0.99899524,43.895294,0.98134583,0.99968255,0.99924994,0.014943906,0.013838171,0.99762475,0.13445292
2007_004856_OnePixel_(10, 40).png,0.9990454,0.9996805,51.573315,0.99577665,0.9999045,0.99973625,0.0073274323,0.0067805443,0.9996923,0.0924939
2007_004856_OnePixel_(100, 50).png,0.9932021,0.9980768,42.030464,0.96092665,0.9995057,0.9989267,0.017941833,0.016924303,0.9960965,0.14774089
2007_004856_OnePixel_(50, 40).png,0.9964491,0.99891037,45.322525,0.9805051,0.99979764,0.9995749,0.010078819,0.010059969,0.99865127,0.11825581
2007_004948_OnePixel_(10, 40).png,0.9993582,0.9998128,52.866127,0.996797,0.9999771,0.99991524,0.0053970916,0.0052733882,0.9992602,0.08257268
2007_004948_OnePixel_(100, 50).png,0.99528474,0.9989146,43.24657,0.9713422,0.9997057,0.9993288,0.012480499,0.01253134,0.99681526,0.13367076
2007_004948_OnePixel_(300, 80).png,0.98511976,0.9961673,38.16639,0.92013997,0.9991165,0.99778855,0.022997772,0.02259124,0.9898087,0.17701666
2007_004948_OnePixel_(50, 40).png,0.9977948,0.99943304,46.71038,0.9878529,0.999889,0.99967784,0.008779894,0.008622246,0.99866694,0.10870809
2007_005264_OnePixel_(10, 40).png,0.99913186,0.9996864,53.353523,0.9950366,0.9999637,0.99993676,0.0066568838,0.0062643094,0.99934185,0.09346937
2007_005264_OnePixel_(100, 50).png,0.99398303,0.9980515,42.99187,0.9578315,0.9996118,0.9989685,0.014416818,0.013999155,0.99650985,0.14333846
2007_005264_OnePixel_(50, 40).png,0.99727964,0.99921346,46.883244,0.9838178,0.99987805,0.9997888,0.006827239,0.00760388,0.9984105,0.10754548
2007_005368_OnePixel_(10, 40).png,0.9992298,0.9997853,53.16529,0.99558985,0.9999587,0.99983406,0.0051859645,0.0052612396,0.9997139,0.08028126
2007_005368_OnePixel_(100, 50).png,0.9933647,0.99837726,43.480873,0.9656913,0.9996662,0.99897265,0.014333773,0.014629972,0.9960965,0.14098105
2007_005368_OnePixel_(50, 40).png,0.99657387,0.9990379,46.17524,0.98144525,0.9998434,0.9993897,0.011281994,0.011561123,0.99774677,0.12268672
2007_005688_OnePixel_(10, 40).png,0.9993309,0.99985284,52.370605,0.99686366,0.99998224,0.999962,0.0030106734,0.003457301,0.9997196,0.073407084
2007_005688_OnePixel_(100, 50).png,0.99382114,0.9985675,42.534756,0.96281064,0.99968904,0.9992276,0.012173853,0.013191881,0.9968037,0.13399392
2007_005688_OnePixel_(50, 40).png,0.9966823,0.9991665,45.32207,0.9842021,0.9998211,0.9996745,0.008125048,0.008892819,0.998391,0.11029789
2007_005844_OnePixel_(10, 40).png,0.99921966,0.99977607,52.340485,0.99562436,0.9999626,0.99986666,0.0056057526,0.0055496125,0.99959296,0.08488561
2007_005844_OnePixel_(100, 50).png,0.99412125,0.99850595,43.377552,0.96693355,0.99971396,0.99922526,0.012611079,0.013057195,0.99637073,0.13432527
2007_005844_OnePixel_(300, 80).png,0.98392034,0.9960356,38.81517,0.91667324,0.99915,0.9975916,0.021492623,0.021568416,0.9922348,0.17401096
2007_005844_OnePixel_(50, 40).png,0.9967145,0.9990231,46.141327,0.98478615,0.999792,0.9995996,0.012041626,0.011574719,0.9981426,0.12467919
2007_006117_OnePixel_(10, 40).png,0.9991834,0.99978006,51.53896,0.99570435,0.9999479,0.99988943,0.0035962635,0.004231466,0.99955803,0.072850704
2007_006117_OnePixel_(100, 50).png,0.99329746,0.99821997,42.220398,0.9662984,0.9994647,0.9986673,0.01983412,0.0182289,0.99424154,0.15554404
2007_006117_OnePixel_(50, 40).png,0.9962964,0.99901676,45.73642,0.98367375,0.9997688,0.999438,0.012694941,0.011920918,0.99811536,0.12692758
2007_006560_OnePixel_(10, 40).png,0.99913377,0.99974716,52.15761,0.99298275,0.9999227,0.99974513,0.005892383,0.005885241,0.99948984,0.089003
2007_006560_OnePixel_(100, 50).png,0.99179983,0.99728715,41.777115,0.94632995,0.9995588,0.99803805,0.024148999,0.021962058,0.99456835,0.17083651
2007_006560_OnePixel_(50, 40).png,0.99492425,0.99813193,44.23504,0.97223616,0.9997035,0.99892807,0.022029513,0.019260872,0.9977139,0.1607396
2007_006704_OnePixel_(10, 40).png,0.9988205,0.9994284,49.855278,0.992155,0.99990666,0.9998675,0.011501593,0.010043527,0.9993789,0.11363296
2007_006704_OnePixel_(100, 50).png,0.9931396,0.99786365,42.892857,0.95559865,0.9993986,0.99849993,0.020499727,0.019182593,0.9947994,0.15899712
2007_006704_OnePixel_(300, 80).png,0.97812164,0.9928898,37.640064,0.88032246,0.99836904,0.99604696,0.03825211,0.035158005,0.98496693,0.21483918
2007_006704_OnePixel_(50, 40).png,0.9954567,0.99830234,44.753056,0.97336024,0.9996014,0.9990622,0.02052373,0.01827964,0.99689466,0.1555271
