file,ssim,ms_ssim,psnr,vif_p,vsi,fsim,gmsd,ms_gmsd,haarpsi,mdsi
"2011_003176_CW_(30, 0.6, 50).png",0.5987653,0.7537264,25.553415,0.24863783,0.96827424,0.852968,0.18017448,0.17102773,0.58463764,0.4532553
"2011_003176_CW_(30, 0.7, 50).png",0.542789,0.7102113,24.237888,0.21897443,0.9588444,0.82501715,0.20608748,0.19506279,0.5249224,0.48018146
"2011_003183_CW_(30, 0.01, 100).png",0.9983897,0.9991121,46.70628,0.99593616,0.99990404,0.99990207,9.397444e-05,0.00012594026,0.9989896,0.08669091
"2011_003183_CW_(30, 0.01, 50).png",0.9983842,0.99910897,46.697407,0.99569714,0.99990374,0.9999005,9.5348674e-05,0.00012859677,0.998978,0.08669614
"2011_003183_CW_(30, 0.03, 50).png",0.9956644,0.99780107,44.960003,0.9394037,0.99971765,0.99894077,0.0015074032,0.0016187471,0.9953055,0.118517205
"2011_003183_CW_(30, 0.06, 50).png",0.9907748,0.9954598,42.8896,0.86702275,0.9993843,0.99723816,0.004187334,0.0044866987,0.98918957,0.14914395
"2011_003183_CW_(30, 0.1, 50).png",0.9790685,0.98979634,39.999702,0.7547163,0.9985374,0.99311477,0.010047493,0.010746745,0.9752276,0.18659472
"2011_003183_CW_(30, 0.2, 50).png",0.9302869,0.9658106,34.84281,0.5445949,0.99439776,0.9742702,0.03500804,0.03622916,0.91817075,0.26062018
"2011_003183_CW_(30, 0.3, 50).png",0.8656173,0.9327495,31.49752,0.41639715,0.9874591,0.94663054,0.06808511,0.06817681,0.84302485,0.3182551
"2011_003183_CW_(30, 0.4, 50).png",0.797376,0.89585084,29.06277,0.33255696,0.97826463,0.9144901,0.10253675,0.100204885,0.7667941,0.36461022
"2011_003183_CW_(30, 0.5, 50).png",0.73249406,0.8584712,27.162256,0.2739776,0.9674388,0.8814038,0.13463722,0.12942053,0.69791675,0.40227818
